!SIL    1.0	sil
<SPN>   1.0	spn
<UNK>   1.0	unk
జవాబిచ్చారు	1.0	జ వా బి చ్చా రు 
జవాబిస్తూ	1.0	జ వా బిస్ తూ 
జవాబు	1.0	జ వా బు 
జసోన్	1.0	జ సోన్ 
జస్టిస్	1.0	జస్ టిస్ 
జహంగీర్	1.0	జ హం గీర్ 
జహారీ	1.0	జ హా రీ 
జహీర్	1.0	జ హీర్ 
జాకెట్టు	1.0	జా కె ట్టు 
జాగర్లమూడి	1.0	జా గర్ ల మూ డి 
జాగృతి	1.0	జా గృ తి 
జాంగ్	1.0	జాంగ్ 
జాగ్రత	1.0	జాగ్ ర త 
జాగ్రత్తగా	1.0	జాగ్ ర త్త గా 
జాగ్రత్త	1.0	జాగ్ ర త్త 
జాగ్రత్తపడడానికే	1.0	జాగ్ ర త్త ప డ డా ని కే 
జాగ్రత్తల	1.0	జాగ్ ర త్త ల 
జాగ్రత్తలను	1.0	జాగ్ ర త్త ల ను 
జాగ్రత్తలు	1.0	జాగ్ ర త్త లు 
జాగ్రత్తలూ	1.0	జాగ్ ర త్త లూ 
జాజ్జర్	1.0	జా జ్జర్ 
జాడపై	1.0	జా డ పై 
జాడలేని	1.0	జా డ లే ని 
జాతకం	1.0	జా త కం 
జాతరకు	1.0	జా త ర కు 
జాతర	1.0	జా త ర 
జాతా	1.0	జా తా 
జాతికి	1.0	జా తి కి 
జాతి	1.0	జా తి 
జాతిపరమైన	1.0	జా తి ప ర మై న 
జాతిపిత	1.0	జా తి పి త 
జాతీయ	1.0	జా తీ య 
జాతీయం	1.0	జా తీ యం 
జాతీయలను	1.0	జా తీ య ల ను 
జాతీయస్థాయిల	1.0	జా తీ యస్ థా యి ల 
జాతుల	1.0	జా తు ల 
జాత్యహంకార	1.0	జాత్ య హం కా ర 
జానకీపురం	1.0	జా న కీ పు రం 
జానపదకళాకారులు	1.0	జా న ప ద క ళా కా రు లు 
జానపద	1.0	జా న ప ద 
జానా	1.0	జా నా 
జానారెడ్డి	1.0	జా నా రె డ్డి 
జానీ	1.0	జా నీ 
జాన్	1.0	జాన్ 
జాన్సన్	1.0	జాన్ సన్ 
జాప్యం	1.0	జాప్ యం 
జాప్యంతో	1.0	జాప్ యం తో 
జాప్యమైందని	1.0	జాప్ య మైం ద ని 
జాఫ్నాలో	1.0	జాఫ్ నా లో 
జాబితా	1.0	జా బి తా 
జాబితాను	1.0	జా బి తా ను 
జాబితాలను	1.0	జా బి తా ల ను 
జాబితాలు	1.0	జా బి తా లు 
జాబితాలో	1.0	జా బి తా లో 
జాబితాలోనే	1.0	జా బి తా లో నే 
జాబు	1.0	జా బు 
జాము	1.0	జా ము 
జామున	1.0	జా ము న 
జామునే	1.0	జా ము నే 
జాయింట్	1.0	జా యింట్ 
జారగిలపడి	1.0	జా ర గి ల ప డి 
జారవిడల్సిందిగా	1.0	జా ర వి డల్ సిం ది గా 
జారిగిలపడి	1.0	జా రి గి ల ప డి 
జారి	1.0	జా రి 
జారిన	1.0	జా రి న 
జారిపోయే	1.0	జా రి పో యే 
జారీచేశారని	1.0	జా రీ చే శా ర ని 
జారీచేసింది	1.0	జా రీ చే సిం ది 
జారీచేసిరది	1.0	జా రీ చే సి ర ది 
జారీ	1.0	జా రీ 
జారుకున్నారు	1.0	జా రు కు న్నా రు 
జారే	1.0	జా రే 
జార్ఖండ్	1.0	జార్ ఖండ్ 
జార్జి	1.0	జార్ జి 
జార్జ్	1.0	జార్జ్ 
జాలరిపేటలో	1.0	జా ల రి పే ట లో 
జాలా	1.0	జా లా 
జాలువారిన	1.0	జా లు వా రి న 
జావీద్	1.0	జా వీద్ 
జాషువా	1.0	జా షు వా 
జిఒ	1.0	జి ఒ 
జి	1.0	జి 
జిడ్డు	1.0	జి డ్డు 
జితేందర్	1.0	జి తేం దర్ 
జిన్నాను	1.0	జి న్నా ను 
జింబాబ్వే	1.0	జిం బాబ్ వే 
జిమ్మిబాబు	1.0	జి మ్మి బా బు 
జియాంక్షు	1.0	జి యాంక్ షు 
జియా	1.0	జి యా 
జియావో	1.0	జి యా వో 
జియో	1.0	జి యో 
జియ్యమ్మవలస	1.0	జి య్య మ్మ వ ల స 
జిరా	1.0	జి రా 
జిలేబీ	1.0	జి లే బీ 
జిల్లలో	1.0	జి ల్ల లో 
జిల్లాకు	1.0	జి ల్లా కు 
జిల్లాగా	1.0	జి ల్లా గా 
జిల్లా	1.0	జి ల్లా 
జిల్లాను	1.0	జి ల్లా ను 
జిల్లాలకు	1.0	జి ల్లా ల కు 
జిల్లాల	1.0	జి ల్లా ల 
జిల్లాలతో	1.0	జి ల్లా ల తో 
జిల్లాలను	1.0	జి ల్లా ల ను 
జిల్లాలపై	1.0	జి ల్లా ల పై 
జిల్లాలలో	1.0	జి ల్లా ల లో 
జిల్లాలవారీగా	1.0	జి ల్లా ల వా రీ గా 
జిల్లాలు	1.0	జి ల్లా లు 
జిల్లాలో	1.0	జి ల్లా లో 
జిల్లాలోని	1.0	జి ల్లా లో ని 
జిల్లాలోనే	1.0	జి ల్లా లో నే 
జిల్లాల్లో	1.0	జి ల్లా ల్లో 
జిల్లాల్లోని	1.0	జి ల్లా ల్లో ని 
జిల్లాల్లోనూ	1.0	జి ల్లా ల్లో నూ 
జిల్లాల్లోనే	1.0	జి ల్లా ల్లో నే 
జిల్లావ్యాప్తంగా	1.0	జి ల్లావ్ యాప్ తం గా 
జివిఎంసి	1.0	జి వి ఎం సి 
జివో	1.0	జి వో 
జిహాదీ	1.0	జి హా దీ 
జిహెచ్ఎంసి	1.0	జి హెచ్ ఎం సి 
జీఎస్టీ	1.0	జీ ఎస్ టీ 
జీ	1.0	జీ 
జీడి	1.0	జీ డి 
జీడితోటకు	1.0	జీ డి తో ట కు 
జీడిపిక్కల	1.0	జీ డి పి క్క ల 
జీడిమామిడి	1.0	జీ డి మా మి డి 
జీడిమెట్ల	1.0	జీ డి మెట్ ల 
జీతం	1.0	జీ తం 
జీతాలను	1.0	జీ తా ల ను 
జీతాలిస్తున్నది	1.0	జీ తా లిస్ తు న్న ది 
జీతాలు	1.0	జీ తా లు 
జీర్జించుకోలోకపోతుందని	1.0	జీర్ జిం చు కో లో క పో తుం ద ని 
జీర్ణించుకునే	1.0	జీర్ ణిం చు కు నే 
జీర్ణించుకోలేక	1.0	జీర్ ణిం చు కో లే క 
జీర్ణించుకోలేకపోతున్నారట	1.0	జీర్ ణిం చు కో లే క పో తు న్నా ర ట 
జీర్ణించుకోలేకపోతున్నారు	1.0	జీర్ ణిం చు కో లే క పో తు న్నా రు 
జీర్ణించుకోలేని	1.0	జీర్ ణిం చు కో లే ని 
జీర్ణించుకోవడానికి	1.0	జీర్ ణిం చు కో వ డా ని కి 
జీర్లపల్లిలో	1.0	జీర్ ల ప ల్లి లో 
జీలకర్ర	1.0	జీ ల క ర్ర 
జీవ	1.0	జీ వ 
జీవన	1.0	జీ వ న 
జీవనం	1.0	జీ వ నం 
జీవనంతోనే	1.0	జీ వ నం తో నే 
జీవనవిధానంలో	1.0	జీ వ న వి ధా నం లో 
జీవనోపాధికి	1.0	జీ వ నో పా ధి కి 
జీవనోపాధి	1.0	జీ వ నో పా ధి 
జీవనోపాధిని	1.0	జీ వ నో పా ధి ని 
జీవన్	1.0	జీ వన్ 
జీవవిధానంలో	1.0	జీ వ వి ధా నం లో 
జీవహింస	1.0	జీ వ హిం స 
జీవా	1.0	జీ వా 
జీవాతో	1.0	జీ వా తో 
జీవాన్వేషణకు	1.0	జీ వాన్ వే ష ణ కు 
జీవిగా	1.0	జీ వి గా 
జీవించడంలో	1.0	జీ విం చ డం లో 
జీవించవచ్చని	1.0	జీ విం చ వ చ్చ ని 
జీవించాలని	1.0	జీ విం చా ల ని 
జీవించి	1.0	జీ విం చి 
జీవించే	1.0	జీ విం చే 
జీవించేందుకు	1.0	జీ విం చేం దు కు 
జీవించేలా	1.0	జీ విం చే లా 
జీవి	1.0	జీ వి 
జీవితకథను	1.0	జీ వి త క థ ను 
జీవితకాలం	1.0	జీ వి త కా లం 
జీవిత	1.0	జీ వి త 
జీవితం	1.0	జీ వి తం 
జీవితంతో	1.0	జీ వి తం తో 
జీవితంపై	1.0	జీ వి తం పై 
జీవితమే	1.0	జీ వి త మే 
జీవితంలో	1.0	జీ వి తం లో 
జీవితా	1.0	జీ వి తా 
జీవితాంతం	1.0	జీ వి తాం తం 
జీవితానికి	1.0	జీ వి తా ని కి 
జీవితాను	1.0	జీ వి తా ను 
జీవితాన్ని	1.0	జీ వి తా న్ని 
జీవితాలతో	1.0	జీ వి తా ల తో 
జీవితాలను	1.0	జీ వి తా ల ను 
జీవితాలు	1.0	జీ వి తా లు 
జీవితాల్లో	1.0	జీ వి తా ల్లో 
జీవితావసరాలే	1.0	జీ వి తా వ స రా లే 
జీవితాశయంగా	1.0	జీ వి తా శ యం గా 
జీవిస్తున్నానని	1.0	జీ విస్ తు న్నా న ని 
జీవిస్తున్నారు	1.0	జీ విస్ తు న్నా రు 
జీవీఎంసీ	1.0	జీ వీ ఎం సీ 
జీవుల	1.0	జీ వు ల 
జీవులుగా	1.0	జీ వు లు గా 
జీవులు	1.0	జీ వు లు 
జీవో	1.0	జీ వో 
జీవోను	1.0	జీ వో ను 
జీవోలు	1.0	జీ వో లు 
జీహెచ్ఎంసీ	1.0	జీ హెచ్ ఎం సీ 
జుకర్	1.0	జు కర్ 
జుగుప్సాకరంగా	1.0	జు గుప్ సా క రం గా 
జుట్టుతో	1.0	జు ట్టు తో 
జుట్టుపైనే	1.0	జు ట్టు పై నే 
జులాయిలా	1.0	జు లా యి లా 
జులుం	1.0	జు లుం 
జులై	1.0	జు లై 
జూ	1.0	జూ 
జూడాలు	1.0	జూ డా లు 
జూనియర్	1.0	జూ ని యర్ 
జూనియర్లు	1.0	జూ ని యర్ లు 
జూన్	1.0	జూన్ 
జూపల్లి	1.0	జూ ప ల్లి 
జూపూడిది	1.0	జూ పూ డి ది 
జూబిలీ	1.0	జూ బి లీ 
జూబ్లిహిల్స్	1.0	జూబ్ లి హిల్స్ 
జూబ్లీహిల్స్	1.0	జూబ్ లీ హిల్స్ 
జూరాలకు	1.0	జూ రా ల కు 
జూలై	1.0	జూ లై 
జూలైలో	1.0	జూ లై లో 
జూలోని	1.0	జూ లో ని 
జెఎసి	1.0	జె ఎ సి 
జెఎస్పీలు	1.0	జె ఎస్ పీ లు 
జె	1.0	జె 
జెండా	1.0	జెం డా 
జెండాతో	1.0	జెం డా తో 
జెండాను	1.0	జెం డా ను 
జెండాలు	1.0	జెం డా లు 
జెండావిష్కరణ	1.0	జెం డా విష్ క ర ణ 
జెడ్పీ	1.0	జెడ్ పీ 
జెడ్పీటీసీ	1.0	జెడ్ పీ టీ సీ 
జెన్నా	1.0	జె న్నా 
జెన్నాను	1.0	జె న్నా ను 
జెన్నీఫర్	1.0	జె న్నీ ఫర్ 
జెపితో	1.0	జె పి తో 
జెప్పారు	1.0	జె ప్పా రు 
జెరుసలేం	1.0	జె రు స లేం 
జెరూసలేం	1.0	జె రూ స లేం 
జెరూసెలం	1.0	జె రూ సె లం 
జెర్సీ	1.0	జెర్ సీ 
జెవివి	1.0	జె వి వి 
జెసి	1.0	జె సి 
జెసిన	1.0	జె సి న 
జేఏసీ	1.0	జే ఏ సీ 
జేడీయు	1.0	జే డీ యు 
జేపీ	1.0	జే పీ 
జేబీఎస్	1.0	జే బీ ఎస్ 
జేబుదొంగలు	1.0	జే బు దొం గ లు 
జేబులోంచి	1.0	జే బు లోం చి 
జేబుల్లోని	1.0	జే బు ల్లో ని 
జేవీ	1.0	జే వీ 
జేసి	1.0	జే సి 
జేసినా	1.0	జే సి నా 
జేసీ	1.0	జే సీ 
జేసీబీ	1.0	జే సీ బీ 
జై	1.0	జై 
జైట్లి	1.0	జైట్ లి 
జైట్లీకి	1.0	జైట్ లీ కి 
జైట్లీ	1.0	జైట్ లీ 
జైట్లీని	1.0	జైట్ లీ ని 
జైట్లీలపై	1.0	జైట్ లీ ల పై 
జైనులు	1.0	జై ను లు 
జైనుల్	1.0	జై నుల్ 
జైపాల్	1.0	జై పాల్ 
జైభారత్	1.0	జై భా రత్ 
జైరాం	1.0	జై రాం 
జైలుకి	1.0	జై లు కి 
జైలుకు	1.0	జై లు కు 
జైలుకెళ్లి	1.0	జై లు కెళ్ లి 
జైలుకెళ్ళాడు	1.0	జై లు కె ళ్ళా డు 
జైలు	1.0	జై లు 
జైలులో	1.0	జై లు లో 
జైల్లో	1.0	జై ల్లో 
జైషే	1.0	జై షే 
జైష్	1.0	జైష్ 
జైళ్లకు	1.0	జైళ్ ల కు 
జొన్న	1.0	జొ న్న 
జోకులే	1.0	జో కు లే 
జోక్యం	1.0	జోక్ యం 
జోక్యాన్ని	1.0	జోక్ యా న్ని 
జోగన్	1.0	జో గన్ 
జోగయ్య	1.0	జో గ య్య 
జోగి	1.0	జో గి 
జోగులాంబ	1.0	జో గు లాం బ 
జోగూరుపాడుకు	1.0	జో గూ రు పా డు కు 
జోడించి	1.0	జో డిం చి 
జోడి	1.0	జో డి 
జోడిస్తున్నారు	1.0	జో డిస్ తు న్నా రు 
జోడీగా	1.0	జో డీ గా 
జోడు	1.0	జో డు 
జోధ్	1.0	జోధ్ 
జోనల్	1.0	జో నల్ 
జోన్	1.0	జోన్ 
జోబులో	1.0	జో బు లో 
జోరందుకుంది	1.0	జో రం దు కుం ది 
జోరందుకున్నాయి	1.0	జో రం దు కు న్నా యి 
జోరుగా	1.0	జో రు గా 
జోరు	1.0	జో రు 
జోరున	1.0	జో రు న 
జోరుని	1.0	జో రు ని 
జోలికి	1.0	జో లి కి 
జోలికొస్తే	1.0	జో లి కొస్ తే 
జోషి	1.0	జో షి 
జోష్	1.0	జోష్ 
జోస్యం	1.0	జోస్ యం 
జోహార్లర్పించి	1.0	జో హార్ లర్ పిం చి 
జోహార్లు	1.0	జో హార్ లు 
జౌళీ	1.0	జౌ ళీ 
జ్ఙాపకార్థం	1.0	జ్ఙా ప కార్ థం 
జ్ఝానం	1.0	జ్ఝా నం 
జ్ఞానం	1.0	జ్ఞా నం 
జ్ఞానంతో	1.0	జ్ఞా నం తో 
జ్ఞానపీఠ్	1.0	జ్ఞా న పీఠ్ 
జ్ఞానోదయం	1.0	జ్ఞా నో ద యం 
జ్ఞాపకాలను	1.0	జ్ఞా ప కా ల ను 
జ్ఞాపికను	1.0	జ్ఞా పి క ను 
జ్యోతిక	1.0	జ్యో తి క 
జ్యోతి	1.0	జ్యో తి 
జ్యోతిని	1.0	జ్యో తి ని 
జ్యోతిబసు	1.0	జ్యో తి బ సు 
జ్యోతులకు	1.0	జ్యో తు ల కు 
జ్యోతుల	1.0	జ్యో తు ల 
జ్వర	1.0	జ్వ ర 
జ్వరంతో	1.0	జ్వ రం తో 
జ్వరాలు	1.0	జ్వ రా లు 
జ్వాలలు	1.0	జ్వా ల లు 
జ్వాలా	1.0	జ్వా లా 
ఝరాసంగం	1.0	ఝ రా సం గం 
టక్కర్	1.0	ట క్కర్ 
టక్నాలజీ	1.0	టక్ నా ల జీ 
టంగు	1.0	టం గు 
టంగుటూరు	1.0	టం గు టూ రు 
టంటే	1.0	టం టే 
టన్నుల	1.0	ట న్ను ల 
టన్నులు	1.0	ట న్ను లు 
టపాకాయలు	1.0	ట పా కా య లు 
టమాటా	1.0	ట మా టా 
టర్కీ	1.0	టర్ కీ 
టర్కీతో	1.0	టర్ కీ తో 
టర్కీలో	1.0	టర్ కీ లో 
టర్న్	1.0	టర్న్ 
టర్ములు	1.0	టర్ ము లు 
టవేరా	1.0	ట వే రా 
టాక్	1.0	టాక్ 
టాగిల్స్	1.0	టా గిల్స్ 
టాండన్	1.0	టాం డన్ 
టాప్	1.0	టాప్ 
టాయిలెట్లు	1.0	టా యి లెట్ లు 
టార్గెట్	1.0	టార్ గెట్ 
టాలీవుడ్	1.0	టా లీ వుడ్ 
టాలెంట్	1.0	టా లెంట్ 
టాస్	1.0	టాస్ 
టిఆర్ఎస్	1.0	టి ఆర్ ఎస్ 
టిఎన్జీవో	1.0	టి ఎన్ జీ వో 
టికెట్	1.0	టి కెట్ 
టికెట్ల	1.0	టి కెట్ ల 
టిక్కులు	1.0	టి క్కు లు 
టిక్కెట్టు	1.0	టి క్కె ట్టు 
టిక్కెట్ల	1.0	టి క్కెట్ ల 
టిక్కెట్లు	1.0	టి క్కెట్ లు 
టి	1.0	టి 
టిటిడిపి	1.0	టి టి డి పి 
టిడిపికి	1.0	టి డి పి కి 
టిడిపి	1.0	టి డి పి 
టిడిపితో	1.0	టి డి పి తో 
టిడిపిని	1.0	టి డి పి ని 
టిడిపిపై	1.0	టి డి పి పై 
టిడిపిప్రయత్ని	1.0	టి డి పిప్ ర యత్ ని 
టిడిపియేనని	1.0	టి డి పి యే న ని 
టిడిపిలోకి	1.0	టి డి పి లో కి 
టిడిపిలో	1.0	టి డి పి లో 
టిడిపిలోని	1.0	టి డి పి లో ని 
టిప్పర్	1.0	టి ప్పర్ 
టిఫిన్	1.0	టి ఫిన్ 
టింబర్	1.0	టిం బర్ 
టివి	1.0	టి వి 
టీఅర్	1.0	టీ అర్ 
టీఆర్ఎస్	1.0	టీ ఆర్ ఎస్ 
టీఎస్ఐఐసీ	1.0	టీ ఎస్ ఐ ఐసీ 
టీచర్	1.0	టీ చర్ 
టీచర్లను	1.0	టీ చర్ ల ను 
టీచర్లుగా	1.0	టీ చర్ లు గా 
టీచర్స్	1.0	టీ చర్స్ 
టీ	1.0	టీ 
టీం	1.0	టీం 
టీడీపి	1.0	టీ డీ పి 
టీడీపీకి	1.0	టీ డీ పీ కి 
టీడీపీ	1.0	టీ డీ పీ 
టీడీపీతో	1.0	టీ డీ పీ తో 
టీడీపీలోకి	1.0	టీ డీ పీ లో కి 
టీడీపీలో	1.0	టీ డీ పీ లో 
టీమిండియాకు	1.0	టీ మిం డి యా కు 
టీమిండియా	1.0	టీ మిం డి యా 
టీవీ	1.0	టీ వీ 
టీవీలు	1.0	టీ వీ లు 
టున్న	1.0	టు న్న 
టూటౌన్	1.0	టూ టౌన్ 
టూరిజం	1.0	టూ రి జం 
టూరిజాన్ని	1.0	టూ రి జా న్ని 
టూరు	1.0	టూ రు 
టెక్కలికి	1.0	టె క్క లి కి 
టెక్కీ	1.0	టె క్కీ 
టెక్కీలకు	1.0	టె క్కీ ల కు 
టెక్కీల్లో	1.0	టె క్కీ ల్లో 
టెక్	1.0	టెక్ 
టెక్నాలజీకి	1.0	టెక్ నా ల జీ కి 
టెక్నాలజీ	1.0	టెక్ నా ల జీ 
టెక్నిషియన్ల	1.0	టెక్ ని షి యన్ ల 
టెంట్లు	1.0	టెంట్ లు 
టెండర్ల	1.0	టెం డర్ ల 
టెండర్లో	1.0	టెం డర్ లో 
టెండూల్కర్	1.0	టెం డూల్ కర్ 
టెన్	1.0	టెన్ 
టెన్నిస్	1.0	టె న్నిస్ 
టెన్నెసీ	1.0	టె న్నె సీ 
టెయిలెండర్లతో	1.0	టె యి లెం డర్ ల తో 
టెయిలెండర్లను	1.0	టె యి లెం డర్ ల ను 
టెయిల్	1.0	టె యిల్ 
టెలికాం	1.0	టె లి కాం 
టెలిస్కోప్	1.0	టె లిస్ కోప్ 
టెల్	1.0	టెల్ 
టెస్టు	1.0	టెస్ టు 
టెస్టులను	1.0	టెస్ టు ల ను 
టెస్టులో	1.0	టెస్ టు లో 
టెస్టుల్లో	1.0	టెస్ టు ల్లో 
టెస్ట్	1.0	టెస్ట్ 
టేపుల్లో	1.0	టే పు ల్లో 
టేలర్	1.0	టే లర్ 
టైంకు	1.0	టైం కు 
టైటిల్	1.0	టై టిల్ 
టైంను	1.0	టైం ను 
టైపీ	1.0	టై పీ 
టైప్	1.0	టైప్ 
టోక్యోగా	1.0	టోక్ యో గా 
టోక్యోలని	1.0	టోక్ యో ల ని 
టోయామా	1.0	టో యా మా 
టోరంటో	1.0	టో రం టో 
టోర్నడోలు	1.0	టోర్ న డో లు 
టోర్నమెంట్	1.0	టోర్ న మెంట్ 
టోర్నీగా	1.0	టోర్ నీ గా 
టోర్నీ	1.0	టోర్ నీ 
టోర్నీలో	1.0	టోర్ నీ లో 
టోర్పెడోలను	1.0	టోర్ పె డో ల ను 
ట్యాంకర్ల	1.0	ట్యాం కర్ ల 
ట్యాంకును	1.0	ట్యాం కు ను 
ట్యాంక్	1.0	ట్యాంక్ 
ట్యాక్స్	1.0	ట్యాక్స్ 
ట్యాప్	1.0	ట్యాప్ 
ట్యాబ్లెట్	1.0	ట్యాబ్ లెట్ 
ట్యూన్స్	1.0	ట్యూన్స్ 
ట్రంకు	1.0	ట్రం కు 
ట్రక్కును	1.0	ట్ర క్కు ను 
ట్రక్కుల్లో	1.0	ట్ర క్కు ల్లో 
ట్రంప్	1.0	ట్రంప్ 
ట్రస్టు	1.0	ట్రస్ టు 
ట్రస్టులోని	1.0	ట్రస్ టు లో ని 
ట్రస్ట్	1.0	ట్రస్ట్ 
ట్రాక్టర్	1.0	ట్రాక్ టర్ 
ట్రాక్టర్లతో	1.0	ట్రాక్ టర్ ల తో 
ట్రాన్స్	1.0	ట్రాన్స్ 
ట్రాప్	1.0	ట్రాప్ 
ట్రాఫిక్	1.0	ట్రా ఫిక్ 
ట్రిక్స్	1.0	ట్రిక్స్ 
ట్రిపుల్	1.0	ట్రి పుల్ 
ట్రిపోలీలో	1.0	ట్రి పో లీ లో 
ట్రిబ్యూనళ్ల	1.0	ట్రిబ్ యూ నళ్ ల 
ట్రెంట్	1.0	ట్రెంట్ 
ట్రెడింగ్	1.0	ట్రె డింగ్ 
ట్రెండ్	1.0	ట్రెండ్ 
ట్రై	1.0	ట్రై 
ట్రైబ్యునల్	1.0	ట్రైబ్ యు నల్ 
ట్విట్టర్	1.0	ట్వి ట్టర్ 
ట్విట్టర్లో	1.0	ట్వి ట్టర్ లో 
ట్వి	1.0	ట్వి 
ట్వీట్	1.0	ట్వీట్ 
ట్వీట్లిబియాలో	1.0	ట్వీట్ లి బి యా లో 
ఠాకూర్	1.0	ఠా కూర్ 
ఠాగూర్	1.0	ఠా గూర్ 
ఠేంగ్డీ	1.0	ఠేంగ్ డీ 
డక్కిలి	1.0	డ క్కి లి 
డగౌట్లోంచి	1.0	డ గౌట్ లోం చి 
డంతో	1.0	డం తో 
డన్హామ్	1.0	డన్ హామ్ 
డంపింగ్	1.0	డం పింగ్ 
డప్పు	1.0	డ ప్పు 
డబల్	1.0	డ బల్ 
డంబికాలు	1.0	డం బి కా లు 
డబుల్	1.0	డ బుల్ 
డబుల్స్	1.0	డ బుల్స్ 
డబ్పులు	1.0	డబ్ పు లు 
డబ్బాను	1.0	డ బ్బా ను 
డబ్బాలో	1.0	డ బ్బా లో 
డబ్బుకు	1.0	డ బ్బు కు 
డబ్బుచేతులు	1.0	డ బ్బు చే తు లు 
డబ్బు	1.0	డ బ్బు 
డబ్బుతో	1.0	డ బ్బు తో 
డబ్బుని	1.0	డ బ్బు ని 
డబ్బును	1.0	డ బ్బు ను 
డబ్బుల	1.0	డ బ్బు ల 
డబ్బులను	1.0	డ బ్బు ల ను 
డబ్బులిచ్చి	1.0	డ బ్బు లి చ్చి 
డబ్బులిచ్చిన	1.0	డ బ్బు లి చ్చి న 
డబ్బులు	1.0	డ బ్బు లు 
డబ్బెక్కడిదని	1.0	డ బ్బె క్క డి ద ని 
డబ్ల్యుటీఓ	1.0	డబ్ల్ యు టీ ఓ 
డయల్	1.0	డ యల్ 
డయేరియా	1.0	డ యే రి యా 
డలం	1.0	డ లం 
డాక్టర్	1.0	డాక్ టర్ 
డాక్టర్లతోనే	1.0	డాక్ టర్ ల తో నే 
డాక్టర్లను	1.0	డాక్ టర్ ల ను 
డాక్టర్లు	1.0	డాక్ టర్ లు 
డాగ్	1.0	డాగ్ 
డాట్	1.0	డాట్ 
డా	1.0	డా 
డానికి	1.0	డా ని కి 
డాన్	1.0	డాన్ 
డాబ్బాల	1.0	డా బ్బా ల 
డార్బీషైర్	1.0	డార్ బీ షైర్ 
డాలర్లు	1.0	డా లర్ లు 
డాల్బీ	1.0	డాల్ బీ 
డిఎంఇ	1.0	డి ఎం ఇ 
డిఎల్	1.0	డి ఎల్ 
డిక్టేటర్	1.0	డిక్ టే టర్ 
డిక్లేరు	1.0	డిక్ లే రు 
డిక్సన్	1.0	డిక్ సన్ 
డిగో	1.0	డి గో 
డిగ్గీ	1.0	డి గ్గీ 
డిగ్గీతో	1.0	డి గ్గీ తో 
డిగ్రీ	1.0	డిగ్ రీ 
డిగ్రీతో	1.0	డిగ్ రీ తో 
డిచ్	1.0	డిచ్ 
డిజిగా	1.0	డి జి గా 
డిజిటల్	1.0	డి జి టల్ 
డిజి	1.0	డి జి 
డిజిపి	1.0	డి జి పి 
డిజైన్	1.0	డి జైన్ 
డిజైన్లు	1.0	డి జైన్ లు 
డి	1.0	డి 
డిపాజిట్	1.0	డి పా జిట్ 
డిపాజిట్లు	1.0	డి పా జిట్ లు 
డిపోల	1.0	డి పో ల 
డిపోలు	1.0	డి పో లు 
డిపోలో	1.0	డి పో లో 
డిప్యూటీ	1.0	డిప్ యూ టీ 
డిఫెండింగ్	1.0	డి ఫెం డింగ్ 
డిఫెన్స్	1.0	డి ఫెన్స్ 
డిమాండు	1.0	డి మాం డు 
డిమాండ్	1.0	డి మాండ్ 
డిమాండ్లను	1.0	డి మాండ్ ల ను 
డిమాండ్లు	1.0	డి మాండ్ లు 
డియాగో	1.0	డి యా గో 
డివిజన్	1.0	డి వి జన్ 
డివిలియర్స్	1.0	డి వి లి యర్స్ 
డివైజ్	1.0	డి వైజ్ 
డిశ్చార్జి	1.0	డిశ్ చార్ జి 
డిసిల్వా	1.0	డి సిల్ వా 
డిసెంబరు	1.0	డి సెం బ రు 
డిసెంబర్	1.0	డి సెం బర్ 
డిసౌజాను	1.0	డి సౌ జా ను 
డీఆర్ఎస్	1.0	డీ ఆర్ ఎస్ 
డీఎస్పీ	1.0	డీ ఎస్ పీ 
డీకాక్	1.0	డీ కాక్ 
డీకే	1.0	డీ కే 
డీకొనడానికి	1.0	డీ కొ న డా ని కి 
డీగ్లామరైజ్డ్	1.0	డీగ్ లా మ రైజ్డ్ 
డీజీ	1.0	డీ జీ 
డీజీపీకి	1.0	డీ జీ పీ కి 
డీజీపీ	1.0	డీ జీ పీ 
డీ	1.0	డీ 
డీనోటిఫై	1.0	డీ నో టి ఫై 
డీల్	1.0	డీల్ 
డీసీపీ	1.0	డీ సీ పీ 
డుండీ	1.0	డుం డీ 
డు	1.0	డు 
డుతూ	1.0	డు తూ 
డుంబ్రిగుడ	1.0	డుంబ్ రి గు డ 
డెంగ్యూకు	1.0	డెంగ్ యూ కు 
డెడ్	1.0	డెడ్ 
డెల్టాకు	1.0	డెల్ టా కు 
డెల్టా	1.0	డెల్ టా 
డెల్టాలో	1.0	డెల్ టా లో 
డేంజిల్	1.0	డేం జిల్ 
డేటా	1.0	డే టా 
డేటాను	1.0	డే టా ను 
డేట్	1.0	డేట్ 
డే	1.0	డే 
డేవిడ్	1.0	డే విడ్ 
డైనమేస్	1.0	డై న మేస్ 
డైనమోస్	1.0	డై న మోస్ 
డైరక్టర్	1.0	డై రక్ టర్ 
డైరీలో	1.0	డై రీ లో 
డైరెక్టర్	1.0	డై రెక్ టర్ 
డైర్	1.0	డైర్ 
డొంకరాయి	1.0	డొం క రా యి 
డొక్కా	1.0	డొ క్కా 
డొనాల్డ్	1.0	డొ నాల్డ్ 
డొల్ల	1.0	డొ ల్ల 
డోనాల్డ్	1.0	డో నాల్డ్ 
డోన్ట్	1.0	డోన్ట్ 
డోన్	1.0	డోన్ 
డ్డారు	1.0	డ్డా రు 
డ్	1.0	డ్ 
